client_id,round,secagg,bias,weights_json
client1,-1,1,-2.5834154084,"[-0.006419099015629243, -0.022083993501316946, 0.0183913690832558, -0.043194956874297565, 0.03468616311298096, -0.00936476106955887, -0.012031162118201977, -0.041694774302775295, -0.0019727416620883157, -0.025284981171989712, -0.046070698022988445, 0.04133744358601992, -0.06552329638781007, -0.0015897938966149962, -0.08414696184742115, -0.003991076829785412, -0.04607017120185528, -0.08111026534810095, -0.024334192499185885, 0.010714238123198196, 0.004944541652250778, 0.011833454190910638, 0.0005725993647752226, -0.0018686752399533653, 0.0009969955286933604, -0.0031940414704962746, 0.008737586203675868, -0.001705607949507889, -0.0006655227326415178, 0.0011923560825380449]"
client1,0,1,-2.5834154084,"[-0.006419099015629243, -0.022083993501316946, 0.0183913690832558, -0.043194956874297565, 0.03468616311298096, -0.00936476106955887, -0.012031162118201977, -0.041694774302775295, -0.0019727416620883157, -0.025284981171989712, -0.046070698022988445, 0.04133744358601992, -0.06552329638781007, -0.0015897938966149962, -0.08414696184742115, -0.003991076829785412, -0.04607017120185528, -0.08111026534810095, -0.024334192499185885, 0.010714238123198196, 0.004944541652250778, 0.011833454190910638, 0.0005725993647752226, -0.0018686752399533653, 0.0009969955286933604, -0.0031940414704962746, 0.008737586203675868, -0.001705607949507889, -0.0006655227326415178, 0.0011923560825380449]"
client1,1,1,-2.5835626932,"[-0.007234289919356337, -0.023569730638044996, 0.01912558767887706, -0.045398184380115496, 0.03401284531938098, -0.01195679063193845, -0.011046984973255245, -0.04255078950282058, 0.0008254394129488926, -0.02634650571437377, -0.04718205784163694, 0.039802251593893556, -0.062428954157842546, -0.0020040064253331173, -0.08249060213419467, -0.0037936685540006687, -0.04536847333912753, -0.07897194313299574, -0.023738652262305746, 0.010246774729556568, 0.006314509367066256, 0.009679590310891054, -0.00010887261462586408, -0.004372785911424554, -0.00019113316814864829, -0.0015538138257316114, 0.009445335914917136, 0.000720919176006645, -0.00043569310347789207, 0.0005798978817422037]"
client1,2,1,-4.6800192918,"[-0.005012551317466599, -0.032340397621498526, 0.03748725469647829, -0.0819102909980036, 0.07927169799898157, -0.016242309809714316, -0.022928974229960934, -0.07499351550630869, -0.01314661617597485, -0.050698302704103755, -0.10077407570524921, 0.08204076495716732, -0.133284743070987, -0.007448671626057727, -0.1779316036542425, -0.0034171525358292066, -0.08795527339118583, -0.13419995314058072, -0.03906571922967647, 0.013804576207044162, 0.00576856473072911, 0.02089471978548311, 0.005921076327125947, -0.006091877197737665, -0.005620173525449341, -0.004128247000070114, 0.00807815520360047, 0.004401878439499666, 0.003570083071205748, 0.002468014434104941]"
client1,3,1,-4.9712376091,"[-0.004268671625607182, -0.031354689961846455, 0.039457342532563534, -0.08692519424448768, 0.0916180902179578, -0.01136118634504913, -0.0247857134172328, -0.07687903912435658, -0.022697644521331842, -0.05661636160836322, -0.11190565311611533, 0.09126986072164732, -0.1476516251733503, -0.00956716126584566, -0.20424022751887813, -0.00418179614227619, -0.09324523601583996, -0.13725471421694366, -0.03793435427568592, 0.012887509728449697, 0.004872276334591008, 0.022667121911681364, 0.007259538045336578, -0.007092112173269012, -0.007404972387777204, -0.005803793862311995, 0.008811126611452127, 0.003988010844360622, 0.00443351860539933, 0.004114495531648798]"
client1,4,1,-4.9712189453,"[-0.004218669008117173, -0.031235762235577745, 0.03936619198107496, -0.08673141614902673, 0.09163788721256519, -0.011114485458475725, -0.024777441136585882, -0.07680049840952358, -0.022563135771448445, -0.05643842069091421, -0.1117278410407263, 0.09124434756130162, -0.1477229854444217, -0.009548437457563225, -0.2042012077249694, -0.004298249451941453, -0.09319376297935529, -0.13711440106013886, -0.03779689197057932, 0.012848320064612586, 0.004680322412829378, 0.022457441015167067, 0.007316874430677748, -0.00721716127144004, -0.007433015201867463, -0.005843812233232361, 0.008866879313854452, 0.003850394866782124, 0.004644288906273584, 0.003936285278036126]"
